id	reviewer_concern	severity	status	planned_or_completed_revision	remaining_input_needed
R1.1	Opening paragraphs are conceptual and need recent studies from the past two years.	Major	Completed	Expanded Introduction and Related Work to cite recent agricultural benchmark and foundation-model work, including GTPBD, AgroMind, and TORA, and connected them to the reliability-benchmark gap.	Final compile/layout check.
R1.2	Related Work lacks systematic comparison of recent studies and clear gap.	Major	Completed	Added a comparison table summarizing representative datasets/benchmarks and clarifying the gap addressed by this reliability benchmark.	Final compile/layout check.
R1.3	Methods has too many subsections; Figure 1 does not show workflow clearly.	Major	Completed	Reorganized Methods into broader modules and redrew Figure 1 as a cleaner five-stage workflow with color-coded stages, arrows, and a compact result-index strip.	Final compile/layout check.
R1.4	Main text lacks image counts, splits, class distributions, pixel distributions, and box counts; training-volume control unclear.	Major	Completed	Restored/mounted raw datasets, generated full revision dataset statistics, copied Supplementary Table S-dataset-statistics and S-label into the package, and added main-text counts plus training-volume interpretation.	Final compile/layout check.
R1.5	Cross-domain evaluation mainly CropAndWeed/PhenoBench; CWFID/CWD30 task limits; more external datasets requested.	Major	Completed	Clarified CWFID/CWD30 as diagnostic external validation with task-specific limitations and stated that additional compatible external detection/segmentation datasets are outside the present dataset scope.	Final compile/layout check.
R1.6	CWFID classification imbalance needs exact counts and interpretation.	Major	Completed	Added exact derived split imbalance: 59 weed-positive and 1 weed-negative image, explained balanced accuracy/macro-F1 interpretation, and stated that CWFID classification is a diagnostic external check rather than a standalone ranking benchmark; the external all-image row is also in Supplementary Table S-dataset-statistics.	Final compile/layout check.
R1.7	Detection task lacks qualitative failure examples.	Major	Completed	Generated a manually checked representative YOLO11m CropAndWeed detection-failure audit on server 91, created Supplementary Figure S-detection-failure-plate and Supplementary Table S-detection-failure-plate, and updated the manuscript text to cite them as illustrative qualitative evidence.	Final compile/layout check.
R1.8	Include recommended related works.	Moderate	Completed	Verified and added GTPBD, AgroMind, and TORA references in the manuscript.	Final compile/layout check.
R2.1	Results and Discussion dense; simplify for readability.	Moderate	Completed	Revised Results and Discussion to foreground task-specific observations, interpretation, and practical agricultural implications.	Final compile/layout check.
R2.2	Highlight practical findings for agricultural readers.	Moderate	Completed	Added explicit agricultural implications for external validation, subgroup failures, detection/localization errors, spray-mask risk, and model-selection use.	Final compile/layout check.
R2.3	Limitations should be strengthened: no field trials, embedded deployment, closed-loop robot validation; calibration mostly classification.	Moderate	Completed	Strengthened limitations to state that the benchmark does not measure chemical dose, crop injury, yield loss, robot safety, or closed-loop correction; calibration scope remains classification-focused.	Final compile/layout check.
R2.4	Inference analysis should remain reference-only and guide faster-vs-more-reliable choice.	Moderate	Completed	Kept batch-1 inference-reference wording and added concrete faster-versus-more-reliable examples by task.	Final compile/layout check.
R3.1	Extend stress testing to cross-dataset scenarios.	Moderate	Completed	Added three-seed cross-dataset severity audits using formal 300-epoch checkpoints in both CropAndWeed-to-PhenoBench and PhenoBench-to-CropAndWeed directions: YOLO11m and RT-DETR-L for detection under blur, JPEG compression, and low-resolution stress, and SegFormer-B0 and Mask2Former-Swin-T for segmentation under blur, low-resolution, JPEG, brightness, and contrast stress. Full all-model cross-task severity matrices are scoped outside the representative audit.	Final compile/layout check.
R3.2	Broaden calibration methods beyond temperature scaling.	Moderate	Completed	Included temperature scaling as a reproducible low-cost classification calibration baseline, reported ECE/Brier/AURC/high-confidence wrong outcomes, and scoped broader non-parametric and task-specific uncertainty calibration outside the present benchmark evidence without claiming that temperature scaling solves dataset shift.	Final compile/layout check.
R3.3	Clarify inference profiling limitations; edge/TensorRT would improve relevance.	Moderate	Completed	Clarified that batch-1 GPU timing is an inference reference, not field deployment or embedded validation, and added a representative CPU/ONNX detection timing supplement with 50 warm-up and 200 timed batch-1 runs for YOLO11m PyTorch CPU, YOLO11m ONNX Runtime CPU, and RT-DETR-L PyTorch CPU. The response explicitly avoids presenting CPU/ONNX timing as embedded-deployment evidence; TensorRT, embedded accelerators, and closed-loop robot timing remain outside the present evidence.	Final compile/layout check.
R3.4	Subgroup analysis needs qualitative examples for small/dense weeds.	Moderate	Completed	Linked object-size and weed-pixel-ratio subgroup results to qualitative failure examples and practical weed-escape/actuation risks.	Final compile/layout check.
R3.5	Deepen discussion of external validation gaps and error sources.	Moderate	Completed	Expanded Section 4.6 to distinguish visual domain shift, annotation-policy mismatch, task mismatch, class imbalance, label collapse, and small external-set effects.	Final compile/layout check.
