task,model,dataset,epochs,optimizer,learning_rate,scheduler,batch_size,image_size,augmentation,loss,checkpoint_metric,seed,framework
classification,ResNet50,CropAndWeed or PhenoBench,300,AdamW,2e-4,10% linear warmup then cosine annealing,64,224,"random resized crop, horizontal flip, color jitter; validation resize and center crop","class-weighted cross entropy, label smoothing 0.1",validation balanced accuracy,0 primary; 1 and 2 additional audit seeds,"PyTorch, timm"
classification,ConvNeXtV2-Tiny,CropAndWeed or PhenoBench,300,AdamW,1e-4,40 warmup epochs then cosine annealing,32,224,"random resized crop, horizontal flip, color jitter; validation resize and center crop","class-weighted cross entropy, label smoothing 0.1",validation balanced accuracy,0 primary; 1 and 2 additional audit seeds,"PyTorch, timm"
classification,DINOv2-S/14 linear probe,CropAndWeed or PhenoBench,300,AdamW,1e-3,10 warmup epochs then cosine annealing,16,518,"random resized crop, horizontal flip, color jitter; frozen backbone, train classifier head",class-weighted cross entropy,validation balanced accuracy,0 primary; 1 and 2 additional audit seeds,"PyTorch, timm"
classification,EfficientNetV2-S,CropAndWeed or PhenoBench,300,AdamW,1e-4,20 warmup epochs then cosine annealing,32,300,"random resized crop, horizontal flip, color jitter; validation resize and center crop","class-weighted cross entropy, label smoothing 0.1",validation balanced accuracy,0 primary; 1 and 2 additional audit seeds,"PyTorch, timm"
classification,Swin-T,CropAndWeed or PhenoBench,300,AdamW,5e-5,20 warmup epochs then cosine annealing,32,224,"random resized crop, horizontal flip, color jitter; validation resize and center crop","class-weighted cross entropy, label smoothing 0.1",validation balanced accuracy,0 primary; 1 and 2 additional audit seeds,"PyTorch, timm"
detection,"YOLO family (YOLOv5l6u, YOLOv8m, YOLO11m, YOLOv12N)",CropAndWeed or PhenoBench,300,SGD,"lr0=0.1, lrf=0.01, momentum=0.937","Ultralytics schedule, patience=300, close_mosaic where supported",8-16 depending on model memory,1280,Ultralytics detection augmentations,Ultralytics detection loss,validation mAP50-95,0 primary; 1 and 2 additional audit seeds,Ultralytics
detection,RT-DETR-L,CropAndWeed or PhenoBench,300,AdamW,"lr0=1e-4, lrf=0.01",Ultralytics RT-DETR schedule,4,640,Ultralytics detection augmentations,Ultralytics RT-DETR detection loss,validation mAP50-95,0 primary; 1 and 2 additional audit seeds,Ultralytics
segmentation,U-Net / DeepLabV3+,CropAndWeed or PhenoBench,300,AdamW,1e-3,none recorded in training script,4,672,resize and ImageNet normalization,cross entropy,validation mIoU,0 primary; 1 and 2 additional audit seeds where run,"PyTorch, segmentation-models-pytorch"
segmentation,SegFormer-B0,CropAndWeed or PhenoBench,300,AdamW,6e-5,none recorded in training script,4,672,resize and ImageNet normalization,cross entropy,validation mIoU,0 primary; 1 and 2 additional audit seeds,"PyTorch, segmentation-models-pytorch"
segmentation,UPerNet-Swin-T,CropAndWeed or PhenoBench,300,AdamW,1e-4,none recorded in training script,task-specific,224,resize and ImageNet normalization,cross entropy,validation mIoU,0 primary,"PyTorch, segmentation-models-pytorch"
segmentation,Mask2Former-Swin-T,CropAndWeed or PhenoBench,300,AdamW,5e-5,none recorded in training script,2,512,resize and ImageNet normalization; Mask2Former mask targets,Mask2Former universal segmentation loss,validation mIoU,0 primary; 1 and 2 additional audit seeds,"PyTorch, transformers"
